state,latitude,longitude,county
CO,39.82,-105.1,Jefferson
CO,39.69,-104.81,Arapahoe
CO,39.69,-104.81,Adams
CO,39.94,-105.06,Broomfield
CO,39.93,-105.27,Boulder
CO,39.47,-103.95,Elbert
CO,39.37,-104.85,Douglas
CO,39.59,-105.01,Denver
CO,39.07,-104.85,El Paso
CO,39.28,-106.06,Park
CO,39.8,-105.49,Gilpin
CO,39.87,-106.7,Eagle
CO,39.5,-106.04,Summit
CO,40.7,-106.92,Routt
CO,39.37,-106.18,Lake
CO,40.57,-106.43,Jackson
CO,39.78,-105.6,Clear Creek
CO,39.93,-105.79,Grand
CO,40.17,-105.11,Weld
CO,40.37,-105.52,Larimer
CO,40.33,-104.12,Morgan
CO,40.16,-103.21,Washington
CO,40.68,-102.17,Phillips
CO,40.55,-103.27,Logan
CO,40.11,-102.48,Yuma
CO,40.98,-102.26,Sedgwick
CO,38.85,-102.17,Cheyenne
CO,39.28,-103.27,Lincoln
CO,39.3,-102.42,Kit Carson
CO,38.74,-105.17,Teller
CO,38.27,-104.62,Pueblo
CO,37.07,-106.01,Conejos
CO,37.4,-104.65,Las Animas
CO,38.33,-103.33,Kiowa
CO,37.1,-102.57,Baca
CO,38.1,-103.51,Otero
CO,38.19,-103.85,Crowley
CO,38.1,-103.15,Bent
CO,37.78,-105.17,Huerfano
CO,38.06,-102.31,Prowers
CO,37.46,-105.87,Alamosa
CO,37.02,-107.4,Archuleta
CO,37.23,-107.59,La Plata
CO,37.43,-105.51,Costilla
CO,37.75,-106.11,Saguache
CO,37.85,-106.92,Mineral
CO,37.67,-106.35,Rio Grande
CO,38.53,-106.0,Chaffee
CO,38.67,-106.83,Gunnison
CO,38.44,-105.23,Fremont
CO,38.07,-107.3,Hinsdale
CO,38.13,-105.46,Custer
CO,37.65,-108.82,Dolores
CO,37.35,-108.57,Montezuma
CO,37.92,-108.93,San Miguel
CO,38.49,-107.87,Montrose
CO,38.78,-107.93,Delta
CO,38.08,-107.69,Ouray
CO,37.82,-107.64,San Juan
CO,39.08,-108.55,Mesa
CO,39.54,-107.33,Garfield
CO,40.24,-109.0,Moffat
CO,39.19,-106.82,Pitkin
CO,40.05,-107.89,Rio Blanco
